Freq,Range,Doppler,Polarize,Ampltude,Ampltude_before_proc,Antena_channel,Noise
1.100,105,-0.781,90,78,11,9,74.156
1.100,120,-2.344,90,78,11,11,74.156
1.100,135,-2.344,90,78,11,11,74.156
1.100,145,5.469,90,78,11,7,74.156
1.100,175,5.469,90,78,11,7,74.156
1.100,245,2.344,90,78,11,3,74.156
1.100,260,2.344,90,78,11,3,74.156
1.100,270,2.344,90,78,11,3,74.156
1.100,275,2.344,90,78,11,3,74.156
1.100,290,2.344,90,78,11,3,74.156
1.100,305,2.344,90,78,11,3,74.156
1.100,310,2.344,90,78,11,3,74.156
1.100,320,2.344,90,78,11,3,74.156
1.100,325,2.344,90,78,11,3,74.156
1.100,335,2.344,90,78,11,3,74.156
1.100,340,2.344,90,78,11,3,74.156
1.100,345,2.344,90,78,11,3,74.156
1.100,350,2.344,90,78,11,3,74.156
1.100,355,2.344,90,78,11,3,74.156
1.100,365,2.344,90,78,11,3,74.156
1.100,370,2.344,90,78,11,3,74.156
1.100,375,2.344,90,78,11,3,74.156
1.100,385,2.344,90,78,11,3,74.156
1.100,400,2.344,90,78,11,3,74.156
1.100,405,2.344,90,78,11,3,74.156
1.100,420,2.344,90,78,11,3,74.156
1.100,450,2.344,90,78,11,3,74.156
1.100,505,-2.344,90,78,11,11,74.156
1.100,530,2.344,90,78,11,3,74.156
1.100,535,-2.344,90,78,11,11,74.156
1.100,555,-2.344,90,78,11,11,74.156
1.100,560,2.344,90,78,11,3,74.156
1.100,585,-2.344,90,78,11,11,74.156
1.100,590,-2.344,90,78,11,11,74.156
1.100,600,-2.344,90,78,11,11,74.156
1.100,605,-2.344,90,78,11,11,74.156
1.100,615,-2.344,90,78,11,11,74.156
1.100,620,-2.344,90,78,11,11,74.156
1.100,630,-2.344,90,78,11,11,74.156
1.100,635,-2.344,90,78,11,11,74.156
1.100,650,-2.344,90,78,11,11,74.156
1.100,665,-2.344,90,78,11,11,74.156
1.200,60,-5.469,90,78,11,15,74.156
1.200,75,-5.469,90,78,11,15,74.156
1.200,125,-5.469,90,78,11,15,74.156
1.200,140,-5.469,90,78,11,15,74.156
1.200,145,0.781,90,78,11,1,74.156
1.200,155,-5.469,90,78,11,15,74.156
1.200,160,0.781,90,78,11,1,74.156
1.200,175,0.781,90,78,11,1,74.156
1.200,225,0.781,90,78,11,1,74.156
1.200,240,0.781,90,78,11,1,74.156
1.200,250,-5.469,90,78,11,15,74.156
1.200,255,0.781,90,78,11,1,74.156
1.200,265,-5.469,90,78,11,15,74.156
1.200,270,0.781,90,78,11,1,74.156
1.200,275,5.469,90,78,11,7,74.156
1.200,280,-5.469,90,78,11,15,74.156
1.200,290,5.469,90,78,11,7,74.156
1.200,305,0.781,90,78,11,1,74.156
1.200,320,0.781,90,78,11,1,74.156
1.200,335,0.781,90,78,11,1,74.156
1.200,340,-3.906,90,78,11,13,74.156
1.200,350,0.781,90,78,11,1,74.156
1.200,355,-0.781,90,78,11,9,74.156
1.200,370,-3.906,90,78,11,13,74.156
1.200,385,5.469,90,78,11,7,74.156
1.200,390,-3.906,90,78,11,13,74.156
1.200,400,5.469,90,78,11,7,74.156
1.200,405,-3.906,90,78,11,13,74.156
1.200,420,-3.906,90,78,11,13,74.156
1.200,435,-3.906,90,78,11,13,74.156
1.200,450,5.469,90,78,11,7,74.156
1.200,465,5.469,90,78,11,7,74.156
1.200,480,5.469,90,78,11,7,74.156
1.200,500,5.469,90,78,11,7,74.156
1.200,515,5.469,90,78,11,7,74.156
1.200,530,5.469,90,78,11,7,74.156
1.200,580,-0.781,90,78,11,9,74.156
1.200,595,0.781,90,78,11,1,74.156
1.200,610,0.781,90,78,11,1,74.156
1.200,615,0.781,90,78,11,1,74.156
1.200,625,0.781,90,78,11,1,74.156
1.200,630,0.781,90,78,11,1,74.156
1.200,640,0.781,90,78,11,1,74.156
1.200,645,0.781,90,78,11,1,74.156
1.200,660,0.781,90,78,11,1,74.156
1.200,675,0.781,90,78,11,1,74.156
1.300,60,-3.906,90,78,11,13,73.359
1.300,75,-3.906,90,78,11,13,73.359
1.300,80,5.469,90,78,11,7,73.359
1.300,95,-5.469,90,78,11,15,73.359
1.300,110,-5.469,90,78,11,15,73.359
1.300,115,5.469,90,78,11,7,73.359
1.300,125,-5.469,90,78,11,15,73.359
1.300,140,-5.469,90,78,11,15,73.359
1.300,145,5.469,90,78,11,7,73.359
1.300,160,-5.469,90,78,11,15,73.359
1.300,175,-5.469,90,78,11,15,73.359
1.300,190,-3.906,90,78,11,13,73.359
1.300,205,-5.469,90,78,11,15,73.359
1.300,370,-5.469,90,78,11,15,73.359
1.300,375,3.906,90,78,11,5,73.359
1.300,435,-3.906,90,78,11,13,73.359
1.300,450,-3.906,90,78,11,13,73.359
1.300,455,-3.906,90,78,11,13,73.359
1.300,465,-3.906,90,78,11,13,73.359
1.300,485,-3.906,90,78,11,13,73.359
1.300,500,-3.906,90,78,11,13,73.359
1.300,550,2.344,90,78,11,3,73.359
1.300,600,-0.781,90,78,11,9,73.359
1.300,615,0.781,90,78,11,1,73.359
1.300,620,-0.781,90,78,11,9,73.359
1.300,635,-0.781,90,78,11,9,73.359
1.300,645,2.344,90,78,11,3,73.359
1.300,650,-0.781,90,78,11,9,73.359
1.300,665,-0.781,90,78,11,9,73.359
1.300,680,-0.781,90,78,11,9,73.359
1.400,60,-5.469,90,84,12,15,80.719
1.400,65,5.469,90,84,12,7,80.719
1.400,80,-5.469,90,84,12,15,80.719
1.400,145,5.469,90,84,12,7,80.719
1.400,160,5.469,90,84,12,7,80.719
1.400,175,5.469,90,84,12,7,80.719
1.400,190,5.469,90,84,12,7,80.719
1.400,195,3.906,90,84,12,5,80.719
1.400,205,3.906,90,84,12,5,80.719
1.400,210,3.906,90,84,12,5,80.719
1.400,220,3.906,90,84,12,5,80.719
1.400,225,3.906,90,84,12,5,80.719
1.400,240,3.906,90,84,12,5,80.719
1.400,255,3.906,90,84,12,5,80.719
1.400,260,3.906,90,84,12,5,80.719
1.400,270,3.906,90,84,12,5,80.719
1.400,275,3.906,90,84,12,5,80.719
1.400,285,3.906,90,84,12,5,80.719
1.400,290,3.906,90,84,12,5,80.719
1.400,300,-5.469,90,84,12,15,80.719
1.400,305,3.906,90,84,12,5,80.719
