Freq,Range,Doppler,Pol,AMP PROCESSING,Amp,Antena_channel
1.300,150,3.906,90,72,10,5
1.300,155,-5.469,90,72,10,15
1.300,160,-5.469,90,78,11,15
1.300,165,2.344,90,72,10,3
1.300,170,-5.469,90,72,10,15
1.300,175,-5.469,90,78,11,15
1.300,180,5.469,90,72,10,7
1.300,185,-5.469,90,72,10,15
1.300,190,-3.906,90,78,11,13
1.300,195,0.781,90,72,10,1
1.300,200,3.906,90,66,9,5
1.300,205,-5.469,90,78,11,15
1.300,210,-3.906,90,72,10,13
1.300,215,-0.781,90,72,10,9
1.300,220,-5.469,90,72,10,15
1.300,225,-5.469,90,72,10,15
1.300,230,3.906,90,72,10,5
1.300,235,-5.469,90,72,10,15
1.300,240,-5.469,90,72,10,15
1.300,245,3.906,90,72,10,5
1.300,250,-5.469,90,72,10,15
1.300,255,-5.469,90,72,10,15
1.300,260,2.344,90,72,10,3
1.300,265,-5.469,90,72,10,15
1.300,270,-5.469,90,72,10,15
1.300,275,2.344,90,72,10,3
1.300,280,3.906,90,72,10,5
1.300,285,-5.469,90,72,10,15
1.300,290,-5.469,90,72,10,15
1.300,295,3.906,90,72,10,5
1.300,300,-5.469,90,72,10,15
1.300,305,-5.469,90,72,10,15
1.300,310,3.906,90,72,10,5
1.300,315,-5.469,90,72,10,15
1.300,320,-5.469,90,72,10,15
1.300,325,-5.469,90,72,10,15
1.300,330,3.906,90,72,10,5
1.300,335,-5.469,90,72,10,15
1.300,340,-5.469,90,72,10,15
1.300,345,3.906,90,72,10,5
1.300,350,-5.469,90,72,10,15
1.300,355,-5.469,90,72,10,15
1.300,360,3.906,90,72,10,5
1.300,365,-5.469,90,72,10,15
1.300,370,-5.469,90,78,11,15
1.300,375,3.906,90,78,11,5
1.300,380,-5.469,90,72,10,15
1.300,385,-5.469,90,72,10,15
1.300,390,3.906,90,72,10,5
1.300,395,3.906,90,72,10,5
1.300,400,-5.469,90,72,10,15
1.300,405,-5.469,90,72,10,15
1.300,410,3.906,90,72,10,5
1.300,415,-5.469,90,72,10,15
1.300,420,-5.469,90,72,10,15
1.300,425,-5.469,90,72,10,15
1.300,430,-5.469,90,72,10,15
1.300,435,-3.906,90,78,11,13
1.300,440,-3.906,90,72,10,13
1.300,445,-5.469,90,72,10,15
1.300,450,-3.906,90,78,11,13
1.300,455,-3.906,90,78,11,13
1.300,460,-5.469,90,72,10,15
1.300,465,-3.906,90,78,11,13
1.300,470,3.906,90,72,10,5
1.300,475,-5.469,90,72,10,15
1.300,480,-3.906,90,72,10,13
1.300,485,-3.906,90,78,11,13
1.300,490,-0.781,90,72,10,9
1.300,495,-3.906,90,72,10,13
1.300,500,-3.906,90,78,11,13
1.300,505,3.906,90,72,10,5
1.300,510,-3.906,90,72,10,13
1.300,515,2.344,90,72,10,3
1.300,520,-0.781,90,72,10,9
1.300,525,0.781,90,72,10,1
1.300,530,-3.906,90,72,10,13
1.300,535,2.344,90,72,10,3
1.300,540,-0.781,90,72,10,9
1.300,545,-3.906,90,72,10,13
1.300,550,2.344,90,78,11,3
1.300,555,-0.781,90,72,10,9
1.300,560,0.781,90,72,10,1
1.300,565,2.344,90,72,10,3
1.300,570,-0.781,90,72,10,9
1.300,575,-0.781,90,72,10,9
1.300,580,2.344,90,72,10,3
1.300,585,-0.781,90,72,10,9
1.300,590,-0.781,90,72,10,9
1.300,595,-3.906,90,72,10,13
1.300,600,-0.781,90,78,11,9
1.300,605,-0.781,90,72,10,9
1.300,610,-3.906,90,72,10,13
1.300,615,0.781,90,78,11,1
1.300,620,-0.781,90,78,11,9
1.300,625,-0.781,90,72,10,9
1.300,630,-3.906,90,72,10,13
1.300,635,-0.781,90,78,11,9
1.300,640,-0.781,90,72,10,9
1.300,645,2.344,90,78,11,3
1.300,650,-0.781,90,78,11,9
1.300,655,-0.781,90,72,10,9
1.300,660,2.344,90,72,10,3
1.300,665,-0.781,90,78,11,9
1.300,670,-0.781,90,72,10,9
1.300,675,-3.906,90,72,10,13
1.300,680,-0.781,90,78,11,9
1.300,685,-0.781,90,72,10,9
1.300,690,2.344,90,72,10,3
1.300,695,2.344,90,72,10,3
1.400,60,-5.469,90,84,12,15
1.400,65,5.469,90,84,12,7
1.400,70,0.781,90,78,11,1
1.400,75,5.469,90,78,11,7
1.400,80,-5.469,90,84,12,15
1.400,85,-0.781,90,78,11,9
1.400,90,-5.469,90,78,11,15
1.400,95,-5.469,90,78,11,15
1.400,100,-3.906,90,78,11,13
1.400,105,5.469,90,78,11,7
1.400,110,5.469,90,78,11,7
1.400,115,-2.344,90,78,11,11
1.400,120,-2.344,90,78,11,11
1.400,125,5.469,90,78,11,7
1.400,130,5.469,90,78,11,7
1.400,135,-3.906,90,78,11,13
1.400,140,5.469,90,78,11,7
1.400,145,5.469,90,84,12,7
1.400,150,5.469,90,78,11,7
1.400,155,5.469,90,78,11,7
1.400,160,5.469,90,84,12,7
1.400,165,5.469,90,78,11,7
1.400,170,5.469,90,78,11,7
1.400,175,5.469,90,84,12,7
1.400,180,5.469,90,78,11,7
1.400,185,3.906,90,78,11,5
1.400,190,5.469,90,84,12,7
1.400,195,3.906,90,84,12,5
1.400,200,3.906,90,78,11,5
1.400,205,3.906,90,84,12,5
1.400,210,3.906,90,84,12,5
1.400,215,0.781,90,78,11,1
1.400,220,3.906,90,84,12,5
1.400,225,3.906,90,84,12,5
1.400,230,0.781,90,78,11,1
1.400,235,-5.469,90,78,11,15
1.400,240,3.906,90,84,12,5
1.400,245,3.906,90,78,11,5
1.400,250,-5.469,90,78,11,15
1.400,255,3.906,90,84,12,5
1.400,260,3.906,90,84,12,5
1.400,265,-3.906,90,78,11,13
1.400,270,3.906,90,84,12,5
1.400,275,3.906,90,84,12,5
1.400,280,2.344,90,78,11,3
1.400,285,3.906,90,84,12,5
1.400,290,3.906,90,84,12,5
1.400,295,5.469,90,78,11,7
1.400,300,-5.469,90,84,12,15
1.400,305,3.906,90,84,12,5
1.400,310,5.469,90,78,11,7
1.400,315,-5.469,90,78,11,15
1.400,320,3.906,90,84,12,5
1.400,325,0.781,90,78,11,1
1.400,330,3.906,90,78,11,5
1.400,335,3.906,90,84,12,5
1.400,340,-0.781,90,78,11,9
1.400,345,-3.906,90,78,11,13
1.400,350,3.906,90,84,12,5
1.400,355,-0.781,90,78,11,9
1.400,360,-3.906,90,78,11,13
1.400,365,3.906,90,78,11,5
1.400,370,-5.469,90,78,11,15
1.400,375,-3.906,90,78,11,13
1.400,380,3.906,90,78,11,5
1.400,385,-5.469,90,78,11,15
1.400,390,-3.906,90,78,11,13
1.400,395,3.906,90,78,11,5
1.400,400,3.906,90,78,11,5
1.400,405,-2.344,90,78,11,11
1.400,410,5.469,90,78,11,7
1.400,415,3.906,90,84,12,5
1.400,420,-2.344,90,78,11,11
1.400,425,-2.344,90,78,11,11
1.400,430,3.906,90,84,12,5
1.400,435,-2.344,90,78,11,11
1.400,440,-2.344,90,78,11,11
1.400,445,3.906,90,78,11,5
1.400,450,3.906,90,78,11,5
1.400,455,-2.344,90,84,12,11
1.400,460,-5.469,90,78,11,15
1.400,465,-5.469,90,84,12,15
1.400,470,5.469,90,84,12,7
1.400,475,-5.469,90,78,11,15
1.400,480,-5.469,90,84,12,15
1.400,485,5.469,90,84,12,7
1.400,490,-2.344,90,78,11,11
1.400,495,-5.469,90,84,12,15
1.400,500,5.469,90,84,12,7
1.400,505,5.469,90,84,12,7
1.400,510,-5.469,90,84,12,15
1.400,515,5.469,90,84,12,7
1.400,520,5.469,90,84,12,7
1.400,525,3.906,90,84,12,5
1.400,530,5.469,90,84,12,7
1.400,535,5.469,90,84,12,7
1.400,540,3.906,90,78,11,5
1.400,545,-5.469,90,84,12,15
1.400,550,5.469,90,84,12,7
1.400,555,5.469,90,84,12,7
1.400,560,-5.469,90,84,12,15
1.400,565,5.469,90,84,12,7
1.400,570,5.469,90,84,12,7
1.400,575,3.906,90,84,12,5
1.400,580,5.469,90,84,12,7
1.400,585,5.469,90,84,12,7
1.400,590,3.906,90,84,12,5
1.400,595,-2.344,90,84,12,11
1.400,600,5.469,90,84,12,7
1.400,605,3.906,90,78,11,5
1.400,610,5.469,90,78,11,7
1.400,615,-2.344,90,84,12,11
1.400,620,-5.469,90,78,11,15
1.400,625,-5.469,90,78,11,15
1.400,630,-2.344,90,84,12,11
1.400,635,5.469,90,78,11,7
1.400,640,-5.469,90,78,11,15
1.400,645,5.469,90,84,12,7
1.400,650,5.469,90,78,11,7
1.400,655,-5.469,90,78,11,15
1.400,660,5.469,90,84,12,7
1.400,665,5.469,90,78,11,7
1.400,670,-5.469,90,78,11,15
1.400,675,5.469,90,78,11,7
1.400,680,-2.344,90,84,12,11
1.400,685,-5.469,90,78,11,15
1.400,690,5.469,90,78,11,7
1.400,695,5.469,90,84,12,7
1.500,60,3.906,90,78,11,5
1.500,65,2.344,90,78,11,3
1.500,70,-5.469,90,72,10,15
1.500,75,3.906,90,78,11,5
1.500,80,2.344,90,78,11,3
1.500,85,-5.469,90,78,11,15
1.500,90,3.906,90,78,11,5
1.500,95,2.344,90,78,11,3
1.500,100,-5.469,90,78,11,15
1.500,105,2.344,90,78,11,3
1.500,110,3.906,90,78,11,5
1.500,115,-5.469,90,78,11,15
1.500,120,2.344,90,72,10,3
1.500,125,3.906,90,78,11,5
1.500,130,-5.469,90,78,11,15
1.500,135,-5.469,90,78,11,15
1.500,140,3.906,90,78,11,5
1.500,145,2.344,90,78,11,3
1.500,150,-5.469,90,78,11,15
1.500,155,3.906,90,78,11,5
1.500,160,3.906,90,78,11,5
1.500,165,-5.469,90,78,11,15
1.500,170,2.344,90,78,11,3
1.500,175,-5.469,90,78,11,15
1.500,180,-5.469,90,78,11,15
1.500,185,2.344,90,78,11,3
1.500,190,-5.469,90,78,11,15
1.500,195,2.344,90,78,11,3
1.500,200,-5.469,90,72,10,15
1.500,205,-5.469,90,78,11,15
1.500,210,3.906,90,78,11,5
1.500,215,-5.469,90,72,10,15
1.500,220,2.344,90,78,11,3
1.500,225,3.906,90,78,11,5
1.500,230,-5.469,90,72,10,15
1.500,235,2.344,90,78,11,3
1.500,240,3.906,90,78,11,5
1.500,245,-5.469,90,72,10,15
1.500,250,2.344,90,78,11,3
1.500,255,3.906,90,78,11,5
1.500,260,-5.469,90,78,11,15
1.500,265,-5.469,90,78,11,15
1.500,270,2.344,90,78,11,3
1.500,275,-5.469,90,72,10,15
1.500,280,-5.469,90,78,11,15
1.500,285,2.344,90,78,11,3
1.500,290,-5.469,90,78,11,15
1.500,295,-5.469,90,78,11,15
1.500,300,2.344,90,78,11,3
1.500,305,-5.469,90,78,11,15
1.500,310,-5.469,90,72,10,15
1.500,315,-5.469,90,78,11,15
1.500,320,-5.469,90,72,10,15
1.500,325,-0.781,90,72,10,9
1.500,330,-5.469,90,78,11,15
1.500,335,2.344,90,72,10,3
1.500,340,-0.781,90,72,10,9
1.500,345,-5.469,90,78,11,15
1.500,350,2.344,90,72,10,3
1.500,355,-0.781,90,78,11,9
1.500,360,-5.469,90,78,11,15
1.500,365,3.906,90,72,10,5
1.500,370,-0.781,90,78,11,9
1.500,375,-5.469,90,78,11,15
1.500,380,3.906,90,72,10,5
1.500,385,3.906,90,72,10,5
1.500,390,-5.469,90,72,10,15
1.500,395,-5.469,90,78,11,15
1.500,400,3.906,90,72,10,5
1.500,405,-0.781,90,78,11,9
1.500,410,-5.469,90,78,11,15
1.500,415,3.906,90,72,10,5
1.500,420,-0.781,90,78,11,9
1.500,425,-5.469,90,78,11,15
1.500,430,3.906,90,72,10,5
1.500,435,3.906,90,72,10,5
1.500,440,-5.469,90,78,11,15
1.500,445,3.906,90,72,10,5
1.500,450,-5.469,90,72,10,15
1.500,455,-0.781,90,78,11,9
1.500,460,-5.469,90,72,10,15
1.500,465,2.344,90,72,10,3
1.500,470,5.469,90,72,10,7
1.500,475,-5.469,90,72,10,15
1.500,480,3.906,90,72,10,5
1.500,485,5.469,90,78,11,7
1.500,490,2.344,90,72,10,3
1.500,495,2.344,90,72,10,3
1.500,500,-0.781,90,72,10,9
1.500,505,0.781,90,78,11,1
1.500,510,-5.469,90,72,10,15
1.500,515,-0.781,90,78,11,9
1.500,520,-0.781,90,78,11,9
1.500,525,-5.469,90,78,11,15
1.500,530,-0.781,90,72,10,9
1.500,535,5.469,90,78,11,7
1.500,540,-5.469,90,78,11,15
1.500,545,-0.781,90,72,10,9
1.500,550,5.469,90,78,11,7
1.500,555,-5.469,90,78,11,15
1.500,560,3.906,90,72,10,5
1.500,565,5.469,90,78,11,7
1.500,570,-5.469,90,78,11,15
1.500,575,-5.469,90,78,11,15
1.500,580,5.469,90,78,11,7
1.500,585,-5.469,90,78,11,15
1.500,590,-5.469,90,72,10,15
1.500,595,-3.906,90,78,11,13
1.500,600,-5.469,90,78,11,15
1.500,605,-5.469,90,78,11,15
